client,income_tax
1,243301.9
2,990060.3999999999
3,1001068.8999999999
4,962911.8999999999
5,1234881.0999999999
6,940159.6
7,1422681.4
8,504557.5
9,851383.0
10,917702.2
11,602947.9
12,1259452.9
13,260264.5
14,1063967.5
15,578374.6
16,243270.69999999998
17,425505.1
18,1391073.0999999999
19,1209120.4
20,615887.2
21,620455.9
22,57923.2
23,41507.799999999996
24,1419883.3
25,1296139.0
26,625681.0
27,392482.6
28,408036.1
29,1345535.2
30,58669.0
31,767066.5
32,24136.899999999998
33,72610.3
34,511441.0
35,140749.0
36,118975.9
37,12164.5
38,571371.7
39,1109540.2
40,440060.8
41,975898.2999999999
42,696600.4
43,967299.7
44,681913.9
45,1466896.0
46,743749.6
47,1185485.5
48,260313.09999999998
49,1325054.8
50,397185.7
51,1182791.5
52,662605.2999999999
53,861635.2
54,946645.6
55,1278698.8
56,453594.1
57,1238733.4
58,846113.7999999999
59,454183.89999999997
60,526234.6
61,1110517.5999999999
62,924060.1
63,1274593.0
64,1393295.5
65,82420.0
66,780919.9
67,304130.8
68,1108731.4
69,1377640.5999999999
70,1455990.0999999999
71,454562.2
72,286237.89999999997
73,795343.0
74,398176.0
75,281772.1
76,282553.3
77,1099453.5999999999
78,1431603.7
79,63886.9
80,562061.5
81,1026159.3999999999
82,1069998.4
83,1180282.0
84,267496.3
85,762280.2999999999
86,207178.3
87,747375.4
88,633142.9
89,1323338.5
90,533617.6
91,1344529.5999999999
92,1434688.5999999999
93,1384548.0999999999
94,301483.0
95,1127428.3
96,1230373.3
97,126066.4
98,169945.6
99,234453.1
100,1297192.9
101,1242282.7
102,648941.2
103,520997.5
104,1454332.9
105,1282915.9
106,306391.0
107,1343908.0
108,1255204.9
109,242329.9
110,1046297.2
111,443724.39999999997
112,816476.5
113,149952.4
114,971946.3999999999
115,609535.2999999999
116,220394.5
117,571300.9
118,330844.6
119,634061.5
120,834642.4
121,786002.2
122,143486.5
123,636376.9
124,985513.6
125,884949.7
126,1191263.5
127,451088.5
128,582544.2999999999
129,782115.4
130,169749.1
131,615208.0
132,1288045.9
133,925963.0
134,289144.6
135,1436742.4
136,223484.5
137,252048.09999999998
138,1468704.0999999999
139,1427417.2
140,1310015.5
141,138084.69999999998
142,72140.2
143,720313.2999999999
144,26125.3
145,675259.2999999999
146,963552.3999999999
147,1366828.0
148,963555.3999999999
149,892822.0
150,97995.4
151,913562.7999999999
152,1450555.9
153,763296.7
154,545123.2
155,1313485.9
156,621744.7
157,782811.1
158,1154932.0
159,1443139.5999999999
160,1243592.5
161,425030.5
162,4348.200000000001
163,129837.09999999999
164,36855.399999999994
165,843154.9
